Domain,IP Address
google.com,forcesafesearch.google.com
amazonaws.com,72.21.210.29
microsoft.com,20.112.250.133
facebook.com,157.240.251.35
akamai.net,N/A
apple.com,17.253.144.10
root-servers.net,N/A
a-msedge.net,N/A
youtube.com,142.250.74.110
azure.com,20.236.44.162
googleapis.com,142.250.74.68
akamaiedge.net,N/A
twitter.com,104.244.42.129
cloudflare.com,104.16.133.229
instagram.com,157.240.251.174
gstatic.com,142.250.74.163
office.com,13.107.6.156
linkedin.com,13.107.42.14
live.com,204.79.197.212
tiktokcdn.com,N/A
gtld-servers.net,N/A
googletagmanager.com,142.250.74.72
