Domain,HTTP Status Code,Blockpage Score
www.protest.net,522,13444.44
www.fark.com,403,241.23
www.ifj.org,400,141.59
www.dd-rd.ca,404,134.86
www.internetsociety.org,html>,122.7
qq.com,501,43.63
archive.org,400,11.33
ok.ru,400,11.33
photos.google.com,400,11.33
hustler.com,400,11.33
www.privaterra.org,400,11.33
www.ultimate-anonymity.com,400,11.33
www.youtube.com,400,11.33
ca.wikipedia.org,400,11.33
freespeechdebate.com,400,11.33
www.limetorrents.lol,400,11.33
khilafah.net,400,11.33
www.pravda.ru,=>,9.25
www.appzplanet.com,200,8.94
messages.google.com,200,8.33
womeninblack.org,create,6.84
www.epik.com,404,6.23
www.photobucket.com,200,4.09
www.sportsinteraction.com,403,3.53
www.ahram.org.eg,403,2.43
www.chinatimes.com,403,2.42
www.hackforums.net,403,2.42
www.scruff.com,200,2.4
baidu.com,200,2.27
www.baidu.com,200,2.15
api.github.com,200,2.08
www.okcupid.com,200,0.95
yggdrasil-network.github.io,200,0.81
www.bme.com,200,0.74
imageshack.com,200,0.63
app.element.io,200,0.55
www.jdate.com,403,0.4
ooni.github.io,200,0.4
epicgames.com,403,0.34
www.anglicancommunion.org,403,0.34
www.savethechildren.net,403,0.34
www.fotolog.com,Newspaper,0.3
www.tiktok.com,200,0.2
www.freewebspace.com,200,0.12
lencr.org,200,0.11
code.jquery.com,200,0.11
www.victoriassecret.com,200,0.08
surfshark.com,200,0.08
www.mediafire.com,200,0.06
openobservatory.slack.com,200,0.05
radiofreel.github.io,200,0.05
controlplane.tailscale.com,200,0.05
www.wordreference.com,200,0.04
www.realbeer.com,html>,0.03
www.privacidade.digital,200,0.03
arxiv.org,200,0.03
letsencrypt.org,200,0.02
aliyun.com,200,0.01
www.almanar.com.lb,200,0.01
www.eharmony.com,200,0.01
www.playboy.com,200,0.01
www.pof.com,200,0.01
www.rambler.ru,200,0.01
www.theregister.co.uk,200,0.01
www.wikipedia.org,200,0.01
www.chess.com,200,0.01
www.chinadaily.com.cn,200,0.0
www.rarbg.to,html>,0.0
wwf.panda.org,200,0
www.4chan.org,403,0.0
www.accessnow.org,200,0.0
www.caritas.org,(null,0.0
www.christianity.com,200,0.0
www.concern.net,200,0.0
www.darknet.org.uk,200,0.0
www.globalfundforwomen.org,200,0.0
www.gmx.com,200,0.0
www.guildwars.com,"src=""/services/2bumpers/gen/anet-bumpers/index.2d0ac6cc-svc.js""",0.0
www.peta.org,200,0.0
www.queerty.com,(min-width:,0.0
www.rollitup.org,200,0.0
www.royalvegas.com,200,0.0
www.wix.com,200,0.0
www.wnd.com,200,0.0
www.eea.europa.eu,200,0.0
www.tawk.to,.elementor-element.elementor-element-7e30ba1e>.elementor-container,0.0
ghost.org,200,0.0
www.coinex.com,200,0.0
www.rtarabic.com,200,0.0
